iter,t,value,barrier
11,0,0,1
11,0.00025,-0.0074462,1
11,0.0005,-0.0157383,1
11,0.00075,-0.017089,1
11,0.001,0.0321941,1
11,0.00125,0.01709,1
11,0.0015,0.00743219,1
11,0.00175,0.0346016,1
11,0.002,0.0252476,1
11,0.00225,0.0323945,1
11,0.0025,0.0626527,1
11,0.00275,0.0323866,1
11,0.003,0.0275448,1
11,0.00325,0.0146427,1
11,0.0035,0.0124428,1
11,0.00375,0.00829874,1
11,0.004,0.0166011,1
11,0.00425,0.027676,1
11,0.0045,0.0165383,1
11,0.00475,0.00123263,1
11,0.005,0.00321715,1
11,0.00525,0.000157494,1
11,0.0055,0.0196075,1
11,0.00575,-0.000988338,1
11,0.006,-0.0236412,1
11,0.00625,-0.0188275,1
11,0.0065,-0.0341978,1
11,0.00675,-0.0494885,1
11,0.007,-0.0492589,1
11,0.00725,-0.0485064,1
11,0.0075,-0.057606,1
11,0.00775,-0.0385072,1
11,0.008,-0.0568843,1
11,0.00825,-0.0702192,1
11,0.0085,-0.0473512,1
11,0.00875,-0.0479919,1
11,0.009,-0.0547566,1
11,0.00925,-0.0583765,1
11,0.0095,-0.0736655,1
11,0.00975,-0.0849976,1
11,0.01,-0.0857195,1
11,0.01025,-0.0707694,1
11,0.0105,-0.0732557,1
11,0.01075,-0.0698805,1
11,0.011,-0.106946,1
11,0.01125,-0.144672,1
11,0.0115,-0.153666,1
11,0.01175,-0.175032,1
11,0.012,-0.197796,1
11,0.01225,-0.166314,1
11,0.0125,-0.13214,1
11,0.01275,-0.136642,1
11,0.013,-0.137232,1
11,0.01325,-0.147504,1
11,0.0135,-0.185653,1
11,0.01375,-0.178522,1
11,0.014,-0.174081,1
11,0.01425,-0.170374,1
11,0.0145,-0.196574,1
11,0.01475,-0.165913,1
11,0.015,-0.155668,1
11,0.01525,-0.156578,1
11,0.0155,-0.188888,1
11,0.01575,-0.192548,1
11,0.016,-0.1754,1
11,0.01625,-0.160599,1
11,0.0165,-0.109422,1
11,0.01675,-0.102624,1
11,0.017,-0.111445,1
11,0.01725,-0.108508,1
11,0.0175,-0.114946,1
11,0.01775,-0.125129,1
11,0.018,-0.104295,1
11,0.01825,-0.110789,1
11,0.0185,-0.109085,1
11,0.01875,-0.0966849,1
11,0.019,-0.089775,1
11,0.01925,-0.0800765,1
11,0.0195,-0.0704562,1
11,0.01975,-0.0678305,1
11,0.02,-0.092664,1
11,0.02025,-0.103812,1
11,0.0205,-0.0885737,1
11,0.02075,-0.0962458,1
11,0.021,-0.0644371,1
11,0.02125,-0.0274962,1
11,0.0215,-0.0317954,1
11,0.02175,-0.0182713,1
11,0.022,-0.0385637,1
11,0.02225,-0.0354545,1
11,0.0225,-0.0575677,1
11,0.02275,-0.0592958,1
11,0.023,-0.0455142,1
11,0.02325,-0.0541277,1
11,0.0235,-0.0831924,1
11,0.02375,-0.0624949,1
11,0.024,-0.0820989,1
11,0.02425,-0.0618583,1
11,0.0245,-0.054291,1
11,0.02475,-0.0440753,1
11,0.025,-0.0249174,1
11,0.02525,-0.0437256,1
11,0.0255,-0.0497672,1
11,0.02575,-0.0590233,1
11,0.026,-0.0457245,1
11,0.02625,-0.0462424,1
11,0.0265,-0.0550086,1
11,0.02675,-0.0476846,1
11,0.027,-0.0499796,1
11,0.02725,-0.0583457,1
11,0.0275,-0.0641165,1
11,0.02775,-0.0716502,1
11,0.028,-0.0761343,1
11,0.02825,-0.0903052,1
11,0.0285,-0.0667535,1
11,0.02875,-0.0546394,1
11,0.029,-0.0714605,1
11,0.02925,-0.0496103,1
11,0.0295,-0.0603164,1
11,0.02975,-0.0464989,1
11,0.03,-0.0248508,1
11,0.03025,-0.0165707,1
11,0.0305,-0.0117847,1
11,0.03075,-0.0114167,1
11,0.031,0.00247255,1
11,0.03125,0.00179982,1
11,0.0315,-0.0088317,1
11,0.03175,0.000624588,1
11,0.032,0.00443351,1
11,0.03225,-0.00574635,1
11,0.0325,-0.000923879,1
11,0.03275,-0.00339504,1
11,0.033,-0.0163655,1
11,0.03325,-0.0427443,1
11,0.0335,-0.0758934,1
11,0.03375,-0.0665032,1
11,0.034,-0.0608783,1
11,0.03425,-0.0523096,1
11,0.0345,-0.0568682,1
11,0.03475,-0.052095,1
